TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Mischief,2024,9,11,18,0,8XX SEYMOUR ST,Central Business District,491357.176,5458660.73
Mischief,2024,7,22,19,26,8XX SMITHE ST,Central Business District,491089.957,5458698.224
Mischief,2024,8,3,4,43,8XX SW MARINE DR,Marpole,490797.5982,5450386.098
Mischief,2024,3,15,20,24,8XX TERMINAL AVE,Strathcona,493842.3651,5457511.954
Mischief,2024,8,1,18,6,8XX TERMINAL AVE,Strathcona,493867.1195,5457463.556
Mischief,2024,4,21,19,45,8XX THURLOW ST,West End,490911.88,5459099.483
Mischief,2024,12,15,21,0,8XX UNION ST,Strathcona,493658.6951,5458296.666
Mischief,2024,6,21,21,18,8XX UNION ST,Strathcona,493793.081,5458293.343
Mischief,2024,7,8,2,0,8XX UNION ST,Strathcona,493793.081,5458293.343
Mischief,2024,6,1,14,0,8XX UNION ST,Strathcona,493802.4567,5458293.111
Mischief,2024,7,7,19,0,8XX W 12TH AVE,Fairview,491033.0002,5456432.316
Mischief,2024,7,5,10,33,8XX W 12TH AVE,Fairview,491033.3519,5456432.305
Mischief,2024,7,13,12,56,8XX W 12TH AVE,Fairview,491033.3519,5456432.305
Mischief,2024,1,25,12,30,8XX W 12TH AVE,Fairview,491039.3621,5456422.969
Mischief,2024,3,1,7,50,8XX W 12TH AVE,Fairview,491121.4907,5456420.401
Mischief,2024,9,4,16,0,8XX W 22ND AVE,South Cambie,491102.332,5455440.056
Mischief,2024,4,30,10,53,8XX W 37TH AVE,South Cambie,490842.5326,5453878.915
Mischief,2024,1,5,15,0,8XX W 62ND AVE,Marpole,490969.6499,5451318.953
Mischief,2024,2,24,22,0,8XX W 67TH AVE,Marpole,490799.5205,5450878.282
Mischief,2024,3,25,20,48,8XX W 67TH AVE,Marpole,490799.5205,5450878.282
Mischief,2024,9,10,21,0,8XX W 67TH AVE,Marpole,490865.7003,5450886.149
Mischief,2024,9,30,19,5,8XX W BROADWAY AVE,Fairview,491043.4378,5456743.149
Mischief,2024,6,5,20,27,8XX W BROADWAY AVE,Fairview,491128.1551,5456731.055
Mischief,2024,2,3,12,0,8XX W GEORGIA ST,Central Business District,491279.7136,5459000.014
Mischief,2024,5,7,4,47,8XX W GEORGIA ST,Central Business District,491279.7136,5459000.014
Mischief,2024,5,23,7,29,8XX W GEORGIA ST,Central Business District,491279.7136,5459000.014
Mischief,2024,6,1,0,0,8XX W GEORGIA ST,Central Business District,491279.7136,5459000.014
Mischief,2024,8,3,0,0,8XX W GEORGIA ST,Central Business District,491279.7136,5459000.014
Mischief,2024,9,3,21,6,8XX W GEORGIA ST,Central Business District,491279.7136,5459000.014
Mischief,2024,10,30,2,17,8XX W GEORGIA ST,Central Business District,491279.7136,5459000.014
Mischief,2024,11,9,4,59,8XX W GEORGIA ST,Central Business District,491279.7136,5459000.014
Mischief,2024,7,13,4,0,8XX W GEORGIA ST,Central Business District,491281.5494,5458998.145
Mischief,2024,8,25,0,0,8XX W GEORGIA ST,Central Business District,491281.5494,5458998.145
Mischief,2024,11,18,18,21,8XX W GEORGIA ST,Central Business District,491281.5494,5458998.145
Mischief,2024,6,15,2,30,8XX W HASTINGS ST,Central Business District,491616.2861,5459277.669
Mischief,2024,7,17,9,19,8XX W HASTINGS ST,Central Business District,491624.1082,5459282.777
Mischief,2024,3,6,8,25,8XX W PENDER ST,Central Business District,491553.9041,5459202.855
Mischief,2024,12,15,21,6,8XX W PENDER ST,Central Business District,491570.9721,5459173.822
Mischief,2024,2,6,6,30,91XX HUDSON ST,Marpole,490153.3077,5449904.925
Mischief,2024,10,7,14,40,91XX STANLEY PARK DR,Stanley Park,489281.6264,5459831.34
Mischief,2024,6,21,15,49,9X E HASTINGS ST,Central Business District,492555.06,5458748.435
Mischief,2024,8,14,3,13,9X PACIFIC BLVD,Central Business District,492233.6913,5458262.808
Mischief,2024,9,14,15,0,9X SMITHE ST,Central Business District,491620.5171,5458167.115
Mischief,2024,7,23,21,45,9X SW MARINE DR,Marpole,492119.608,5451085.639
Mischief,2024,10,12,13,23,9X W CORDOVA ST,Central Business District,492250.5645,5458913.299
Mischief,2024,1,5,0,0,9X W PENDER ST,Central Business District,492180.9865,5458710.068
Mischief,2024,2,27,19,35,9X W PENDER ST,Central Business District,492180.9865,5458710.068
Mischief,2024,9,10,12,35,9X WATER ST,Central Business District,492270.0579,5459023.251
Mischief,2024,6,1,13,0,9XX BEACH AVE,Central Business District,490337.9031,5458074.394
Mischief,2024,4,16,9,0,9XX BEATTY ST,Central Business District,491562.8927,5458167.62
Mischief,2024,5,22,11,0,9XX BEATTY ST,Central Business District,491585.6146,5458202.931
Mischief,2024,1,26,9,30,9XX BOUNDARY RD,Hastings-Sunrise,498276.1887,5458217.948
Mischief,2024,10,9,10,4,9XX BURRARD ST,West End,490887.1516,5458782.31
Mischief,2024,8,16,19,6,9XX BURRARD ST,Central Business District,490908.075,5458789.972
Mischief,2024,10,9,22,7,9XX BURRARD ST,Central Business District,490908.075,5458789.972
Mischief,2024,12,1,0,0,9XX BURRARD ST,Central Business District,490908.075,5458789.972
Mischief,2024,3,8,18,30,9XX BURRARD ST,West End,490938.7233,5458832.222
Mischief,2024,1,30,18,4,9XX BURRARD ST,Central Business District,490952.9374,5458833.203
Mischief,2024,3,15,16,45,9XX BURRARD ST,Central Business District,490952.9374,5458833.203
Mischief,2024,3,25,8,0,9XX BURRARD ST,Central Business District,490952.9374,5458833.203
Mischief,2024,8,3,21,15,9XX BURRARD ST [IFO 970],Central Business District,490952.9387,5458833.204
Mischief,2024,1,4,0,0,9XX CAMBIE ST,Central Business District,491494.1427,5458236.82
Mischief,2024,9,19,14,0,9XX CANADA PL,Central Business District,491607.648,5459491.133
Mischief,2024,7,8,0,0,9XX CANADA PL,Central Business District,491612.8672,5459491.059
Mischief,2024,7,27,12,0,9XX CANADA PL,Central Business District,491612.8672,5459491.059
Mischief,2024,12,3,10,40,9XX CANADA PL,Central Business District,491612.8672,5459491.059
Mischief,2024,2,9,16,0,9XX CANADA PL,Central Business District,491688.0605,5459446.975
Mischief,2024,4,15,17,29,9XX CANADA PL,Central Business District,491688.0605,5459446.975
Mischief,2024,3,14,17,0,9XX CHILCO ST,West End,489847.7361,5459994.553
Mischief,2024,4,19,6,0,9XX COOPERAGE WAY,Central Business District,491699.0494,5457898.682
Mischief,2024,11,17,18,15,9XX COOPERAGE WAY,Central Business District,491785.5716,5457952.599
Mischief,2024,3,7,7,55,9XX DAVIE ST,Central Business District,490675.909,5458411.37
Mischief,2024,11,23,2,54,9XX DENMAN ST,West End,489924.6055,5459632.842
Mischief,2024,11,9,8,15,9XX DENMAN ST,West End,489948.9365,5459656.831
Mischief,2024,3,4,18,0,9XX DENMAN ST,West End,489999.978,5459707.151
Mischief,2024,11,15,18,30,9XX E 10TH AVE,Mount Pleasant,493846.0427,5456530.873
Mischief,2024,12,26,13,49,9XX E 14TH AVE,Mount Pleasant,493799.7953,5456122.064
Mischief,2024,1,9,16,30,9XX E 19TH AVE,Kensington-Cedar Cottage,493771.2632,5455652.577
Mischief,2024,3,20,13,30,9XX E 31ST AVE,Kensington-Cedar Cottage,493822.2809,5454425.487
Mischief,2024,6,29,16,17,9XX E 56TH AVE,Sunset,493761.3768,5451814.786
Mischief,2024,10,13,19,0,9XX E 64TH AVE,Sunset,493738.7172,5451030.466
Mischief,2024,11,9,10,0,9XX E 8TH AVE,Mount Pleasant,493806.392,5456735.272
Mischief,2024,7,26,12,0,9XX E HASTINGS ST,Strathcona,493891.4222,5458704.72
Mischief,2024,11,16,17,0,9XX E HASTINGS ST,Strathcona,493925.8441,5458703.465
Mischief,2024,3,24,8,0,9XX E HASTINGS ST,Strathcona,493927.774,5458703.394
Mischief,2024,3,28,22,0,9XX E HASTINGS ST,Strathcona,493927.774,5458703.394
Mischief,2024,10,5,17,0,9XX EVANS AVE,Strathcona,493973.7202,5457595.896
Mischief,2024,11,7,17,30,9XX EXPO BLVD,Central Business District,491635.4616,5458106.522
Mischief,2024,2,1,1,4,9XX GRANVILLE ST,Central Business District,491062.837,5458525.19
Mischief,2024,11,29,23,27,9XX GRANVILLE ST,Central Business District,491062.837,5458525.19
Mischief,2024,1,7,6,20,9XX GRANVILLE ST,Central Business District,491076.1837,5458525.554
Mischief,2024,9,11,23,38,9XX GRANVILLE ST,Central Business District,491077.7996,5458527.158
Mischief,2024,3,17,20,40,9XX GRANVILLE ST,Central Business District,491099.2007,5458548.4
Mischief,2024,4,4,19,15,9XX GRANVILLE ST,Central Business District,491124.9828,5458586.875
Mischief,2024,8,12,23,29,9XX GRANVILLE ST,Central Business District,491129.1228,5458578.1
Mischief,2024,5,9,9,0,9XX GRANVILLE ST,Central Business District,491159.0448,5458607.8
Mischief,2024,9,16,21,42,9XX GRANVILLE ST,Central Business District,491168.1536,5458616.842
Mischief,2024,1,30,18,5,9XX GRANVILLE ST,Central Business District,491170.5533,5458619.224
Mischief,2024,12,12,0,57,9XX GRANVILLE ST,Central Business District,491170.5533,5458619.224
Mischief,2024,9,28,10,52,9XX HELMCKEN ST,Central Business District,490776.9113,5458552.124
Mischief,2024,12,23,21,25,9XX HELMCKEN ST,Central Business District,490776.9113,5458552.124
Mischief,2024,9,12,17,30,9XX HOMER ST,Central Business District,491276.3484,5458299.957
Mischief,2024,10,5,0,0,9XX HOMER ST,Central Business District,491276.3484,5458299.957
Mischief,2024,12,2,6,45,9XX HOMER ST,Central Business District,491333.1873,5458370.329
Mischief,2024,12,19,4,0,9XX HOMER ST,Central Business District,491333.6968,5458370.842
Mischief,2024,12,28,4,45,9XX HORNBY ST,Central Business District,490964.2277,5458709.724
Mischief,2024,5,7,4,55,9XX HORNBY ST,Central Business District,490977.1562,5458722.419
Mischief,2024,8,30,16,55,9XX HORNBY ST,Central Business District,490977.1562,5458722.419
Mischief,2024,10,5,21,30,9XX HOWE ST,Central Business District,491041.1608,5458637.788
Mischief,2024,10,20,16,5,9XX HOWE ST,Central Business District,491041.1608,5458637.788
Mischief,2024,3,18,15,26,9XX HOWE ST,Central Business District,491052.3638,5458649.242
Mischief,2024,11,16,2,40,9XX HOWE ST,Central Business District,491052.3638,5458649.242
Mischief,2024,7,20,16,30,9XX HOWE ST,Central Business District,491092.5991,5458690.38
Mischief,2024,11,18,10,0,9XX HOWE ST,Central Business District,491094.9352,5458692.769
Mischief,2024,2,8,0,0,9XX KINGSWAY AVE,Kensington-Cedar Cottage,493893.5834,5455683.148
Mischief,2024,2,7,8,1,9XX KINGSWAY AVE,Kensington-Cedar Cottage,493907.242,5455684.583
Mischief,2024,4,27,21,55,9XX LAGOON DR,West End,489803.7266,5460055.128
Mischief,2024,9,1,21,0,9XX MAIN ST,Central Business District,492725.7632,5458184.532
Mischief,2024,11,25,11,0,9XX MAIN ST,Strathcona,492746.5445,5458216.919
Mischief,2024,1,3,20,0,9XX MAIN ST,Strathcona,492746.6503,5458220.978
Mischief,2024,9,5,18,0,9XX MAINLAND ST,Central Business District,491369.9361,5458247.754
Mischief,2024,3,17,10,0,9XX MAINLAND ST,Central Business District,491371.1736,5458249.122
Mischief,2024,8,3,13,51,9XX NELSON ST,Central Business District,490902.8601,5458650.29
Mischief,2024,7,11,8,57,9XX NICOLA ST,West End,490253.1905,5459346.856
Mischief,2024,2,2,22,0,9XX POWELL ST,Strathcona,493887.1696,5458882.036
Mischief,2024,3,1,2,0,9XX POWELL ST,Strathcona,493947.9248,5458880.798
Mischief,2024,8,26,14,56,9XX RICHARDS ST,Central Business District,491204.6667,5458383.655
Mischief,2024,3,16,2,50,9XX RICHARDS ST,Central Business District,491206.5251,5458385.54
Mischief,2024,8,16,1,0,9XX RICHARDS ST,Central Business District,491206.5251,5458385.54
Mischief,2024,3,18,17,0,9XX RICHARDS ST,Central Business District,491227.0639,5458406.375
Mischief,2024,2,5,10,0,9XX ROBSON ST,Central Business District,491096.6562,5458935.105
Mischief,2024,8,11,4,36,9XX ROBSON ST,Central Business District,491132.1491,5458889.257
Mischief,2024,6,10,1,30,9XX SEYMOUR ST,Central Business District,491207.3693,5458509.521
Mischief,2024,6,24,21,28,9XX SEYMOUR ST,Central Business District,491207.3693,5458509.521
Mischief,2024,9,27,15,48,9XX SEYMOUR ST,Central Business District,491207.3693,5458509.521
Mischief,2024,12,9,8,50,9XX SEYMOUR ST,Central Business District,491207.3693,5458509.521
Mischief,2024,12,17,14,30,9XX SEYMOUR ST,Central Business District,491207.3693,5458509.521
Mischief,2024,1,5,16,45,9XX SEYMOUR ST,Central Business District,491208.2714,5458510.421
Mischief,2024,2,11,13,40,9XX SEYMOUR ST,Central Business District,491208.2714,5458510.421
Mischief,2024,4,26,20,12,9XX SEYMOUR ST,Central Business District,491208.2714,5458510.421
Mischief,2024,11,8,23,0,9XX SEYMOUR ST,Central Business District,491208.2714,5458510.421
Mischief,2024,12,20,20,0,9XX SEYMOUR ST,Central Business District,491208.2714,5458510.421
Mischief,2024,12,27,7,16,9XX SEYMOUR ST,Central Business District,491208.2714,5458510.421
Mischief,2024,4,19,0,0,9XX SEYMOUR ST,Central Business District,491208.5107,5458523.574
Mischief,2024,7,8,11,27,9XX SEYMOUR ST,Central Business District,491208.5107,5458523.574
Mischief,2024,8,24,16,30,9XX SEYMOUR ST,Central Business District,491208.5107,5458523.574
Mischief,2024,12,6,16,0,9XX SEYMOUR ST,Central Business District,491208.5107,5458523.574
Mischief,2024,2,8,9,43,9XX SEYMOUR ST,Central Business District,491235.2963,5458550.287
Mischief,2024,5,17,0,0,9XX SEYMOUR ST,Central Business District,491235.2963,5458550.287
Mischief,2024,11,16,16,45,9XX SEYMOUR ST,Central Business District,491235.2963,5458550.287
Mischief,2024,10,17,19,0,9XX SEYMOUR ST,Central Business District,491239.4264,5458541.492
Mischief,2024,10,16,21,40,9XX SEYMOUR ST,Central Business District,491241.7534,5458543.813
Mischief,2024,8,8,23,30,9XX STATION ST,Strathcona,492790.7499,5458142.566
Mischief,2024,5,6,5,0,9XX STATION ST,Strathcona,492790.7674,5458143.099
Mischief,2024,8,1,13,0,9XX STATION ST,Strathcona,492790.7674,5458143.099
Mischief,2024,5,14,18,34,9XX TERMINAL AVE,Strathcona,493902.9131,5457453.329
Mischief,2024,10,21,11,30,9XX THURLOW ST,West End,490757.5751,5458943.988
Mischief,2024,1,23,17,30,9XX W 21ST AVE,South Cambie,490753.8733,5455541.346
Mischief,2024,3,24,0,0,9XX W 21ST AVE,South Cambie,490753.8733,5455541.346
Mischief,2024,8,2,10,25,9XX W 41ST AVE,Oakridge,490757.8022,5453456.082
Mischief,2024,11,23,2,3,9XX W 64TH AVE,Marpole,490720.0104,5451131.11
Mischief,2024,3,20,20,30,9XX W 70TH AVE,Marpole,490681.9709,5450639.772
Mischief,2024,12,20,13,35,9XX W 7TH AVE,Fairview,490951.5634,5456931.852
Mischief,2024,4,29,18,0,9XX W BROADWAY AVE,Fairview,490796.6851,5456750.16
Mischief,2024,3,18,11,0,9XX W BROADWAY AVE,Fairview,490847.6842,5456748.86
Mischief,2024,12,29,2,51,9XX W BROADWAY AVE,Fairview,490874.7283,5456739.024
Mischief,2024,1,13,21,0,9XX W CORDOVA ST,Central Business District,491637.4587,5459386.6
Mischief,2024,4,7,6,25,9XX W CORDOVA ST,Central Business District,491637.4587,5459386.6
Mischief,2024,4,7,6,27,9XX W CORDOVA ST,Central Business District,491637.4587,5459386.6
Mischief,2024,4,21,6,8,9XX W CORDOVA ST,Central Business District,491637.4587,5459386.6
Mischief,2024,4,26,14,0,9XX W CORDOVA ST,Central Business District,491637.4921,5459386.584
Mischief,2024,6,11,21,20,9XX W CORDOVA ST,Central Business District,491637.4921,5459386.584
Mischief,2024,6,12,17,0,9XX W CORDOVA ST,Central Business District,491637.4921,5459386.584
Mischief,2024,9,11,20,27,9XX W CORDOVA ST,Central Business District,491637.4921,5459386.584
Mischief,2024,9,14,21,0,9XX W CORDOVA ST,Central Business District,491637.4921,5459386.584
Mischief,2024,12,8,7,59,9XX W CORDOVA ST,Central Business District,491637.4921,5459386.584
Mischief,2024,4,13,18,26,9XX W GEORGIA ST,Central Business District,491249.6179,5459030.241
Mischief,2024,3,7,21,13,9XX W GEORGIA ST,Central Business District,491250.3621,5459029.499
Mischief,2024,3,13,12,24,9XX W GEORGIA ST,Central Business District,491250.3621,5459029.499
Mischief,2024,4,25,14,30,9XX W GEORGIA ST,Central Business District,491250.3621,5459029.499
Mischief,2024,4,26,19,32,9XX W GEORGIA ST,Central Business District,491250.3621,5459029.499
Mischief,2024,7,11,15,8,9XX W GEORGIA ST,Central Business District,491250.3621,5459029.499
Mischief,2024,11,7,21,42,9XX W GEORGIA ST,Central Business District,491250.3621,5459029.499
Mischief,2024,8,20,10,2,9XX W GEORGIA ST,Central Business District,491259.2299,5459007.746
Mischief,2024,10,4,15,0,9XX W GEORGIA ST,Central Business District,491259.2299,5459007.746
Mischief,2024,1,7,14,1,9XX W GEORGIA ST,Central Business District,491260.6883,5459006.293
Mischief,2024,5,24,22,22,9XX W GEORGIA ST,Central Business District,491260.6883,5459006.293
Mischief,2024,7,9,14,30,9XX W GEORGIA ST,Central Business District,491260.6883,5459006.293
Mischief,2024,7,11,21,33,9XX W PENDER ST,Central Business District,491487.9774,5459266.081
Mischief,2024,2,23,8,15,ABBOTT ST / EXPO BLVD,Central Business District,492170.8718,5458437.771
Mischief,2024,7,10,7,1,ABBOTT ST / W CORDOVA ST,Central Business District,492233.1572,5458913.794
Mischief,2024,8,2,7,30,ABBOTT ST / W CORDOVA ST,Central Business District,492233.1572,5458913.794
Mischief,2024,9,27,21,29,ABBOTT ST / W CORDOVA ST,Central Business District,492233.1572,5458913.794
Mischief,2024,12,9,17,15,ABBOTT ST / W CORDOVA ST,Central Business District,492233.1572,5458913.794
Mischief,2024,1,7,0,5,ABBOTT ST / W CORDOVA ST,Central Business District,492233.1575,5458913.794
Mischief,2024,1,16,4,45,ABBOTT ST / W CORDOVA ST,Central Business District,492233.1575,5458913.794
Mischief,2024,2,17,11,0,ABBOTT ST / W CORDOVA ST,Central Business District,492233.1575,5458913.794
Mischief,2024,2,27,12,0,ABBOTT ST / W CORDOVA ST,Central Business District,492233.1575,5458913.794
Mischief,2024,12,18,14,40,ABBOTT ST / W HASTINGS ST,Central Business District,492203.9203,5458810.891
Mischief,2024,5,17,9,56,ABBOTT ST / W HASTINGS ST,Central Business District,492203.9207,5458810.891
Mischief,2024,7,27,13,41,ABBOTT ST / W HASTINGS ST,Central Business District,492203.9207,5458810.891
Mischief,2024,9,1,23,14,ABBOTT ST / W HASTINGS ST,Central Business District,492203.9207,5458810.891
Mischief,2024,9,11,9,37,ABBOTT ST / W HASTINGS ST,Central Business District,492203.9207,5458810.891
Mischief,2024,7,30,20,15,ABBOTT ST / W PENDER ST,Central Business District,492175.4371,5458706.853
Mischief,2024,12,2,15,40,ABBOTT ST / W PENDER ST,Central Business District,492175.4371,5458706.853
Mischief,2024,8,1,20,40,ABBOTT ST / WATER ST,Central Business District,492260.9735,5459020.968
Mischief,2024,7,13,0,30,ABBOTT ST / WATER ST,Central Business District,492260.9736,5459020.968
Mischief,2024,11,1,12,10,ABBOTT ST / WATER ST,Central Business District,492260.9736,5459020.968
Mischief,2024,9,9,19,0,ADANAC ST / RUPERT ST,Hastings-Sunrise,497555.3123,5458299.414
Mischief,2024,5,5,0,46,ALBERNI ST / BURRARD ST,West End,491151.7655,5459036.227
Mischief,2024,11,10,15,30,ALBERNI ST / BURRARD ST,West End,491151.7655,5459036.227
Mischief,2024,9,2,19,40,ALBERNI ST / DENMAN ST,West End,490227.3947,5459946.994
Mischief,2024,6,7,11,31,ALBERNI ST / JERVIS ST,West End,490730.4053,5459449.822
Mischief,2024,9,6,8,45,ALDER ST / W 8TH AVE,Fairview,490446.313,5456856.713
Mischief,2024,12,13,21,0,ALEXANDER ST / DUNLEVY AVE,Strathcona,493069.6881,5459033.752
Mischief,2024,5,1,1,0,ALEXANDER ST / HEATLEY AVE,Strathcona,493487.9853,5459021.134
Mischief,2024,10,3,14,0,ALEXANDER ST / JACKSON AVE,Strathcona,493214.2925,5459030.426
Mischief,2024,5,16,6,15,ALEXANDER ST / MAIN ST,Strathcona,492764.4425,5459043.895
Mischief,2024,11,25,8,0,ANDERSON ST / CARTWRIGHT ST,Fairview,490102.7319,5457550.025
Mischief,2024,5,28,8,33,ANGUS DR / W 58TH AVE,Kerrisdale,489200.154,5451764.132
Mischief,2024,8,11,13,55,ASH ST / SW MARINE DR,Marpole,491231.9344,5450680.796
Mischief,2024,2,1,0,0,ASH ST / W 7TH AVE,Fairview,491455.3967,5456923.413
Mischief,2024,7,2,17,48,ASH ST / W 7TH AVE,Fairview,491455.3967,5456923.413
Mischief,2024,1,4,17,15,ASH ST / W 8TH AVE,Fairview,491453.966,5456830.342
Mischief,2024,1,29,13,18,ASH ST / W BROADWAY AVE,Fairview,491449.6179,5456727.383
Mischief,2024,3,9,12,40,ASH ST / W BROADWAY AVE,Fairview,491449.6179,5456727.383
Mischief,2024,7,28,11,4,BARCLAY ST / NICOLA ST,West End,490312.4959,5459400.637
Mischief,2024,6,20,12,49,BEACH AVE / BURNABY ST,West End,489637.7351,5459291.119
Mischief,2024,11,15,10,6,BEACH CRES / RICHARDS ST,Central Business District,490664.2406,5457832.863
Mischief,2024,6,5,20,30,BEATTY ST / DUNSMUIR ST,Central Business District,491960.3786,5458570.857
Mischief,2024,9,27,18,48,BEATTY ST / NELSON ST,Central Business District,491478.9848,5458090.557
Mischief,2024,7,4,23,9,BEATTY ST / ROBSON ST,Central Business District,491710.8223,5458320.971
Mischief,2024,10,10,10,41,BEATTY ST / SMITHE ST,Central Business District,491593.4453,5458204.375
Mischief,2024,11,1,10,0,BEATTY ST / W GEORGIA ST,Central Business District,491835.3334,5458445.474
Mischief,2024,5,25,16,0,BEATTY ST / W PENDER ST,Central Business District,492111.7939,5458724.165
Mischief,2024,7,25,10,36,BIRCH ST / W 10TH AVE,Fairview,490268.4513,5456652.137
Mischief,2024,5,4,18,30,BIRCH ST / W 7TH AVE,Fairview,490275.7798,5456953.664
Mischief,2024,5,10,21,30,BLENHEIM ST / W 5TH AVE,Kitsilano,487073.7182,5457223.019
Mischief,2024,1,13,0,4,BORDEN ST / E 64TH AVE,Victoria-Fraserview,494604.8806,5451022.514
Mischief,2024,5,21,16,3,BOUNDARY RD / E 22ND AVE,Renfrew-Collingwood,498268.9497,5455320.533
Mischief,2024,12,13,15,11,BOUNDARY RD / E 4TH AVE,Hastings-Sunrise,498276.9144,5457096.631
Mischief,2024,6,7,21,0,BROUGHTON ST / PENDRELL ST,West End,490164.6718,5459081.45
Mischief,2024,3,13,10,45,BURNABY ST / BUTE ST,West End,490220.8904,5458710.649
Mischief,2024,12,17,10,53,BURRARD ST / CORNWALL AVE,Kitsilano,489414.7138,5457736.884
Mischief,2024,9,5,5,0,BURRARD ST / DAVIE ST,West End,490604.1485,5458488.328
Mischief,2024,11,22,23,52,BURRARD ST / DAVIE ST,West End,490604.1485,5458488.328
Mischief,2024,12,7,20,50,BURRARD ST / DAVIE ST,West End,490604.1485,5458488.328
Mischief,2024,12,24,12,53,BURRARD ST / ROBSON ST,West End,491068.8641,5458954.917
Mischief,2024,12,20,18,0,BURRARD ST / W 11TH AVE,Fairview,489389.7804,5456572.785
Mischief,2024,7,28,0,0,BURRARD ST / W 2ND AVE,Fairview,489410.9023,5457457.152
Mischief,2024,11,9,16,35,BURRARD ST / W 4TH AVE,Fairview,489404.7672,5457259.625
Mischief,2024,1,8,4,5,BURRARD ST / W GEORGIA ST,Central Business District,491193.2025,5459080.028
Mischief,2024,7,31,20,58,BURRARD ST / W GEORGIA ST,Central Business District,491193.2025,5459080.028
Mischief,2024,6,14,8,45,BURRARD ST / W PENDER ST,Central Business District,491426.8765,5459318.376
Mischief,2024,3,28,13,50,BUTE ST / DAVIE ST,West End,490301.4015,5458792.162
Mischief,2024,6,27,15,54,BUTE ST / DAVIE ST,West End,490301.4015,5458792.162
Mischief,2024,11,27,13,47,BUTE ST / DAVIE ST,West End,490301.4017,5458792.162
Mischief,2024,12,22,0,56,BUTE ST / ROBSON ST,West End,490767.2449,5459254.598
Mischief,2024,3,14,20,45,CAMBIE ST / EXPO BLVD,Central Business District,491329.164,5457991.46
Mischief,2024,11,8,13,20,CAMBIE ST / ROBSON ST,Central Business District,491638.2791,5458390.14
Mischief,2024,8,8,23,13,CAMBIE ST / TURNBERRY CRES,Oakridge,491521.3452,5452429.431
Mischief,2024,5,3,13,0,CAMBIE ST / W 10TH AVE,Fairview,491634.8868,5456614.881
Mischief,2024,11,25,10,46,CAMBIE ST / W 16TH AVE,Fairview,491628.0724,5456022.621
Mischief,2024,3,22,17,55,CAMBIE ST / W 23RD AVE,South Cambie,491604.568,5455264.736
Mischief,2024,10,21,15,56,CAMBIE ST / W 54TH AVE,Oakridge,491494.3781,5452110.305
Mischief,2024,2,17,2,30,CAMBIE ST / W 62ND AVE,Marpole,491470.9203,5451265.752
Mischief,2024,6,2,18,0,CAMBIE ST / W 6TH AVE,Mount Pleasant,491657.1208,5457006.492
Mischief,2024,5,29,9,10,CAMBIE ST / W CORDOVA ST,Central Business District,492061.6986,5458981.842
Mischief,2024,4,5,18,21,CAMBIE ST / W PENDER ST,Central Business District,491994.9503,5458762.165
Mischief,2024,9,16,19,0,CAMBIE ST / W PENDER ST,Central Business District,491994.9503,5458762.165
Mischief,2024,11,27,7,55,CAMBIE ST / W PENDER ST,Central Business District,491994.9503,5458762.165
Mischief,2024,7,12,23,25,CAMBIE ST / WATER ST,Central Business District,492085.8221,5459067.742
Mischief,2024,5,8,21,0,CAMBIE ST / WATER ST,Central Business District,492085.8223,5459067.743
Mischief,2024,7,8,21,0,CAMBIE ST / WATER ST,Central Business District,492085.8223,5459067.743
Mischief,2024,7,24,8,26,CAMBIE ST / WATER ST,Central Business District,492085.8258,5459067.744
Mischief,2024,6,26,19,27,CAMBRIDGE ST / N KAMLOOPS ST,Hastings-Sunrise,496031.3488,5459332.845
Mischief,2024,3,22,2,39,CAMPBELL AVE / E HASTINGS ST,Strathcona,493832.6693,5458702.288
Mischief,2024,3,5,10,30,CAMPBELL AVE / E PENDER ST,Strathcona,493829.4759,5458598.18
Mischief,2024,9,5,14,3,CAMPBELL AVE / PRIOR ST,Strathcona,493817.4958,5458196.422
Mischief,2024,11,12,22,22,CARDERO ST / PENDRELL ST,West End,489995.422,5459251.435
Mischief,2024,2,5,21,0,CARDERO ST / SEE EM IA LANE,West End,489956.1652,5459212.854
Mischief,2024,7,24,20,57,CARDERO ST / W PENDER ST,Central Business District,490503.4783,5459766.673
Mischief,2024,11,3,18,19,CAROLINA ST / E 24TH AVE,Riley Park,493295.9767,5455166.904
Mischief,2024,11,25,22,0,CAROLINA ST / E 6TH AVE,Mount Pleasant,493378.8868,5456947.341
Mischief,2024,8,9,12,18,CAROLINA ST / E BROADWAY AVE,Mount Pleasant,493375.9054,5456640.226
Mischief,2024,2,16,6,23,CARRALL ST / E PENDER ST,Central Business District,492408.4344,5458642.804
Mischief,2024,1,29,13,6,CARRALL ST / E PENDER ST,Central Business District,492408.4365,5458642.8
Mischief,2024,7,24,10,30,CARRALL ST / W CORDOVA ST,Central Business District,492416.8336,5458858.141
Mischief,2024,4,12,23,11,CARRALL ST / W PENDER ST,Central Business District,492408.4365,5458642.8
Mischief,2024,6,24,2,28,CARRALL ST / W PENDER ST,Central Business District,492408.4365,5458642.8
Mischief,2024,10,20,1,38,CARRALL ST / W PENDER ST,Central Business District,492408.4365,5458642.8
Mischief,2024,3,14,10,29,CATHEDERAL TR / N LAGOON DR,Stanley Park,489343.3629,5460383.272
